group,case,size,parameter,metric,value,unit
radius,r0.500000,10000,scalar,min_ms,0.766681,ms
radius,r0.500000,10000,batched,min_ms,0.730707,ms
radius,r0.500000,10000,simd,min_ms,0.744241,ms
radius,r0.200000,50000,scalar,min_ms,0.604660,ms
radius,r0.200000,50000,batched,min_ms,0.579263,ms
radius,r0.200000,50000,simd,min_ms,0.613600,ms
radius,r0.500000,50000,scalar,min_ms,2.079141,ms
radius,r0.500000,50000,batched,min_ms,1.923499,ms
radius,r0.500000,50000,simd,min_ms,1.973184,ms
radius,r0.200000,200000,scalar,min_ms,1.251675,ms
radius,r0.200000,200000,batched,min_ms,1.161364,ms
radius,r0.200000,200000,simd,min_ms,1.179451,ms
radius,r0.500000,200000,scalar,min_ms,5.712274,ms
radius,r0.500000,200000,batched,min_ms,5.135616,ms
radius,r0.500000,200000,simd,min_ms,5.192284,ms
radius,r0.200000,1000000,scalar,min_ms,3.382202,ms
radius,r0.200000,1000000,batched,min_ms,3.014050,ms
radius,r0.200000,1000000,simd,min_ms,2.997074,ms
radius,r0.500000,1000000,scalar,min_ms,17.663463,ms
radius,r0.500000,1000000,batched,min_ms,15.418384,ms
radius,r0.500000,1000000,simd,min_ms,15.710746,ms
leaf,leaf4,200000,scalar,min_ms,8.736779,ms
leaf,leaf4,200000,batched,min_ms,9.100562,ms
leaf,leaf4,200000,simd,min_ms,9.140559,ms
leaf,leaf4,200000,build,min_ms,39.975224,ms
leaf,leaf8,200000,scalar,min_ms,7.088718,ms
leaf,leaf8,200000,batched,min_ms,7.329067,ms
leaf,leaf8,200000,simd,min_ms,7.352325,ms
leaf,leaf8,200000,build,min_ms,36.266177,ms
leaf,leaf16,200000,scalar,min_ms,6.452332,ms
leaf,leaf16,200000,batched,min_ms,6.486157,ms
leaf,leaf16,200000,simd,min_ms,6.497043,ms
leaf,leaf16,200000,build,min_ms,32.908389,ms
leaf,leaf32,200000,scalar,min_ms,6.637643,ms
leaf,leaf32,200000,batched,min_ms,6.615521,ms
leaf,leaf32,200000,simd,min_ms,6.654634,ms
leaf,leaf32,200000,build,min_ms,29.982758,ms
leaf,leaf64,200000,scalar,min_ms,7.280664,ms
leaf,leaf64,200000,batched,min_ms,6.991122,ms
leaf,leaf64,200000,simd,min_ms,7.054522,ms
leaf,leaf64,200000,build,min_ms,27.578206,ms
leaf,leaf128,200000,scalar,min_ms,8.792643,ms
leaf,leaf128,200000,batched,min_ms,8.252852,ms
leaf,leaf128,200000,simd,min_ms,8.157313,ms
leaf,leaf128,200000,build,min_ms,24.834169,ms
leafscan,k1,1024,scalar,min_ms,30.149073,ms
leafscan,k1,1024,batched,min_ms,13.973127,ms
leafscan,k1,1024,simd,min_ms,13.175211,ms
leafscan,k1,1024,ratio,scalar_over_batched,2.157647,1
