group,case,size,parameter,metric,value,unit
leafscan,k8,65536,batched,min_ms,23.235700,ms
leafscan,k8,65536,ratio,scalar_over_batched,2.377656,1
voxel,leaf0.020000,1000000,downsample,min_ms,293.708400,ms
voxel,leaf0.050000,1000000,downsample,min_ms,208.184200,ms
voxel,leaf0.100000,1000000,downsample,min_ms,197.645300,ms
voxel,leaf0.250000,1000000,downsample,min_ms,155.692900,ms
icp,sigma0.000000,25674,iterations,count,38,1
icp,sigma0.000000,25674,rmse,value,0.015230,units
icp,sigma0.000000,25674,angle_error,deg,0.005500,deg
icp,sigma0.000000,25674,time,min_ms,581.652900,ms
icp,sigma0.002000,25950,iterations,count,39,1
icp,sigma0.002000,25950,rmse,value,0.015365,units
icp,sigma0.002000,25950,angle_error,deg,0.001610,deg
icp,sigma0.002000,25950,time,min_ms,467.291900,ms
icp,sigma0.005000,26960,iterations,count,41,1
icp,sigma0.005000,26960,rmse,value,0.017720,units
icp,sigma0.005000,26960,angle_error,deg,0.003500,deg
icp,sigma0.005000,26960,time,min_ms,727.318300,ms
icp,sigma0.010000,29031,iterations,count,49,1
icp,sigma0.010000,29031,rmse,value,0.022771,units
icp,sigma0.010000,29031,angle_error,deg,0.003965,deg
icp,sigma0.010000,29031,time,min_ms,870.840400,ms
icp,sigma0.020000,33187,iterations,count,60,1
icp,sigma0.020000,33187,rmse,value,0.030791,units
icp,sigma0.020000,33187,angle_error,deg,0.043039,deg
icp,sigma0.020000,33187,time,min_ms,1024.179200,ms
icp,sigma0.040000,39064,iterations,count,60,1
icp,sigma0.040000,39064,rmse,value,0.038900,units
icp,sigma0.040000,39064,angle_error,deg,0.801921,deg
icp,sigma0.040000,39064,time,min_ms,1879.013100,ms
image,гаусово изглаждане,786432,pipeline,min_ms,51.230300,ms
image,градиент по Собел,786432,pipeline,min_ms,36.650400,ms
image,потискане на немаксимуми,786432,pipeline,min_ms,20.496200,ms
image,двупрагово решение,786432,pipeline,min_ms,1.068500,ms
image,свързани компоненти,786432,pipeline,min_ms,12.504800,ms
