group,case,size,parameter,metric,value,unit
radius,r0.500000,10000,scalar,min_ms,0.740255,ms
radius,r0.500000,10000,batched,min_ms,0.744491,ms
radius,r0.500000,10000,simd,min_ms,0.723401,ms
radius,r0.200000,50000,scalar,min_ms,0.581460,ms
radius,r0.200000,50000,batched,min_ms,0.586788,ms
radius,r0.200000,50000,simd,min_ms,0.601115,ms
radius,r0.500000,50000,scalar,min_ms,1.991620,ms
radius,r0.500000,50000,batched,min_ms,1.938523,ms
radius,r0.500000,50000,simd,min_ms,1.930856,ms
radius,r0.200000,200000,scalar,min_ms,1.231467,ms
radius,r0.200000,200000,batched,min_ms,1.167491,ms
radius,r0.200000,200000,simd,min_ms,1.162732,ms
radius,r0.500000,200000,scalar,min_ms,5.510173,ms
radius,r0.500000,200000,batched,min_ms,5.137554,ms
radius,r0.500000,200000,simd,min_ms,5.157171,ms
radius,r0.200000,1000000,scalar,min_ms,3.416209,ms
radius,r0.200000,1000000,batched,min_ms,3.141591,ms
radius,r0.200000,1000000,simd,min_ms,3.120516,ms
radius,r0.500000,1000000,scalar,min_ms,17.343086,ms
radius,r0.500000,1000000,batched,min_ms,15.953002,ms
radius,r0.500000,1000000,simd,min_ms,15.727761,ms
leaf,leaf4,200000,scalar,min_ms,8.567638,ms
leaf,leaf4,200000,batched,min_ms,8.930603,ms
leaf,leaf4,200000,simd,min_ms,8.962107,ms
leaf,leaf4,200000,build,min_ms,39.658821,ms
leaf,leaf8,200000,scalar,min_ms,7.020204,ms
leaf,leaf8,200000,batched,min_ms,7.253098,ms
leaf,leaf8,200000,simd,min_ms,7.273432,ms
leaf,leaf8,200000,build,min_ms,36.440492,ms
leaf,leaf16,200000,scalar,min_ms,6.452700,ms
leaf,leaf16,200000,batched,min_ms,6.386977,ms
leaf,leaf16,200000,simd,min_ms,6.385372,ms
leaf,leaf16,200000,build,min_ms,33.090343,ms
leaf,leaf32,200000,scalar,min_ms,6.578363,ms
leaf,leaf32,200000,batched,min_ms,6.453897,ms
leaf,leaf32,200000,simd,min_ms,6.439483,ms
leaf,leaf32,200000,build,min_ms,30.226336,ms
leaf,leaf64,200000,scalar,min_ms,7.143169,ms
leaf,leaf64,200000,batched,min_ms,6.909141,ms
leaf,leaf64,200000,simd,min_ms,6.799887,ms
leaf,leaf64,200000,build,min_ms,27.687897,ms
leaf,leaf128,200000,scalar,min_ms,8.490164,ms
leaf,leaf128,200000,batched,min_ms,8.150952,ms
leaf,leaf128,200000,simd,min_ms,7.956522,ms
leaf,leaf128,200000,build,min_ms,25.133311,ms
leafscan,k1,1024,scalar,min_ms,28.683571,ms
leafscan,k1,1024,batched,min_ms,15.580739,ms
leafscan,k1,1024,simd,min_ms,13.813678,ms
leafscan,k1,1024,ratio,scalar_over_batched,1.840963,1
leafscan,k1,1024,ratio,scalar_over_simd,2.076462,1
leafscan,k8,1024,scalar,min_ms,51.033530,ms
leafscan,k8,1024,batched,min_ms,50.634821,ms
leafscan,k8,1024,simd,min_ms,48.909094,ms
leafscan,k8,1024,ratio,scalar_over_batched,1.007874,1
leafscan,k8,1024,ratio,scalar_over_simd,1.043436,1
leafscan,k1,8192,scalar,min_ms,27.755061,ms
leafscan,k1,8192,batched,min_ms,11.628849,ms
leafscan,k1,8192,simd,min_ms,10.143391,ms
leafscan,k1,8192,ratio,scalar_over_batched,2.386742,1
leafscan,k1,8192,ratio,scalar_over_simd,2.736270,1
leafscan,k8,8192,scalar,min_ms,31.112626,ms
leafscan,k8,8192,batched,min_ms,18.603031,ms
leafscan,k8,8192,simd,min_ms,17.137238,ms
leafscan,k8,8192,ratio,scalar_over_batched,1.672449,1
leafscan,k8,8192,ratio,scalar_over_simd,1.815498,1
leafscan,k1,65536,scalar,min_ms,27.406935,ms
leafscan,k1,65536,batched,min_ms,10.887243,ms
leafscan,k1,65536,simd,min_ms,9.305592,ms
leafscan,k1,65536,ratio,scalar_over_batched,2.517344,1
leafscan,k1,65536,ratio,scalar_over_simd,2.945211,1
leafscan,k8,65536,scalar,min_ms,27.737642,ms
leafscan,k8,65536,batched,min_ms,12.070413,ms
leafscan,k8,65536,simd,min_ms,10.495915,ms
leafscan,k8,65536,ratio,scalar_over_batched,2.297986,1
leafscan,k8,65536,ratio,scalar_over_simd,2.642708,1
voxel,leaf0.020000,1000000,downsample,min_ms,77.124883,ms
voxel,leaf0.050000,1000000,downsample,min_ms,74.741269,ms
voxel,leaf0.100000,1000000,downsample,min_ms,73.495492,ms
voxel,leaf0.250000,1000000,downsample,min_ms,65.579579,ms
icp,sigma0.000000,25674,iterations,count,38,1
icp,sigma0.000000,25674,rmse,value,0.015230,units
icp,sigma0.000000,25674,angle_error,deg,0.005500,deg
icp,sigma0.000000,25674,time,min_ms,181.345692,ms
icp,sigma0.002000,25950,iterations,count,39,1
icp,sigma0.002000,25950,rmse,value,0.015365,units
icp,sigma0.002000,25950,angle_error,deg,0.001610,deg
icp,sigma0.002000,25950,time,min_ms,177.517656,ms
icp,sigma0.005000,26960,iterations,count,41,1
icp,sigma0.005000,26960,rmse,value,0.017720,units
icp,sigma0.005000,26960,angle_error,deg,0.003500,deg
icp,sigma0.005000,26960,time,min_ms,198.858335,ms
icp,sigma0.010000,29031,iterations,count,49,1
icp,sigma0.010000,29031,rmse,value,0.022771,units
icp,sigma0.010000,29031,angle_error,deg,0.003965,deg
icp,sigma0.010000,29031,time,min_ms,263.392551,ms
icp,sigma0.020000,33187,iterations,count,60,1
icp,sigma0.020000,33187,rmse,value,0.030791,units
icp,sigma0.020000,33187,angle_error,deg,0.043039,deg
icp,sigma0.020000,33187,time,min_ms,371.915149,ms
icp,sigma0.040000,39064,iterations,count,60,1
icp,sigma0.040000,39064,rmse,value,0.038900,units
icp,sigma0.040000,39064,angle_error,deg,0.801921,deg
icp,sigma0.040000,39064,time,min_ms,487.434844,ms
image,гаусово изглаждане,786432,pipeline,min_ms,11.751625,ms
image,градиент по Собел,786432,pipeline,min_ms,8.392976,ms
image,потискане на немаксимуми,786432,pipeline,min_ms,8.589057,ms
image,двупрагово решение,786432,pipeline,min_ms,0.601718,ms
image,свързани компоненти,786432,pipeline,min_ms,4.052702,ms
