group,case,size,parameter,metric,value,unit
leafscan,k8,65536,batched,min_ms,18.384800,ms
leafscan,k8,65536,ratio,scalar_over_batched,2.337192,1
voxel,leaf0.020000,1000000,downsample,min_ms,150.284500,ms
voxel,leaf0.050000,1000000,downsample,min_ms,146.818700,ms
voxel,leaf0.100000,1000000,downsample,min_ms,131.535800,ms
voxel,leaf0.250000,1000000,downsample,min_ms,107.379700,ms
icp,sigma0.000000,25674,iterations,count,38,1
icp,sigma0.000000,25674,rmse,value,0.015230,units
icp,sigma0.000000,25674,angle_error,deg,0.005500,deg
icp,sigma0.000000,25674,time,min_ms,309.012700,ms
icp,sigma0.002000,25950,iterations,count,39,1
icp,sigma0.002000,25950,rmse,value,0.015365,units
icp,sigma0.002000,25950,angle_error,deg,0.001610,deg
icp,sigma0.002000,25950,time,min_ms,326.278200,ms
icp,sigma0.005000,26960,iterations,count,41,1
icp,sigma0.005000,26960,rmse,value,0.017720,units
icp,sigma0.005000,26960,angle_error,deg,0.003500,deg
icp,sigma0.005000,26960,time,min_ms,380.625000,ms
icp,sigma0.010000,29031,iterations,count,49,1
icp,sigma0.010000,29031,rmse,value,0.022771,units
icp,sigma0.010000,29031,angle_error,deg,0.003965,deg
icp,sigma0.010000,29031,time,min_ms,468.240300,ms
icp,sigma0.020000,33187,iterations,count,60,1
icp,sigma0.020000,33187,rmse,value,0.030791,units
icp,sigma0.020000,33187,angle_error,deg,0.043039,deg
icp,sigma0.020000,33187,time,min_ms,641.424500,ms
icp,sigma0.040000,39064,iterations,count,60,1
icp,sigma0.040000,39064,rmse,value,0.038900,units
icp,sigma0.040000,39064,angle_error,deg,0.801921,deg
icp,sigma0.040000,39064,time,min_ms,829.557500,ms
image,гаусово изглаждане,786432,pipeline,min_ms,47.305300,ms
image,градиент по Собел,786432,pipeline,min_ms,16.375500,ms
image,потискане на немаксимуми,786432,pipeline,min_ms,11.224800,ms
image,двупрагово решение,786432,pipeline,min_ms,0.707200,ms
image,свързани компоненти,786432,pipeline,min_ms,5.924900,ms
